# t theta_S theta_L C
486 0.19940900 0.78539816 0.83316546
487 0.20781987 0.78539816 0.83778735
488 0.20379099 0.78539816 0.83558080
489 0.21659210 0.78539816 0.84254466
490 0.24414990 0.78539816 0.85706624
491 0.23075140 0.78539816 0.85008652
492 0.22352861 0.78539816 0.84626055
493 0.21538268 0.78539816 0.84189262
494 0.22773454 0.78539816 0.84849385
495 0.23995208 0.78539816 0.85489595
496 0.26454475 0.78539816 0.86739482
497 0.27307074 0.78539816 0.87160595
498 0.25871641 0.78539816 0.86447980
499 0.24184553 0.78539816 0.85587674
500 0.23964124 0.78539816 0.85473464
