# t theta_S theta_L C
641 2.57129473 5.41679633 -0.95648436
642 2.56006066 5.42279633 -0.96137069
643 2.58919093 5.42879633 -0.95474733
644 2.62356750 5.43479633 -0.94592438
645 2.64129085 5.44079633 -0.94205657
646 2.67289829 5.44679633 -0.93315853
647 2.67841987 5.45279633 -0.93333040
648 2.67571552 5.45879633 -0.93642003
649 2.67790346 5.46479633 -0.93775080
650 2.69082002 5.47079633 -0.93532620
651 2.67795150 5.47679633 -0.94183474
652 2.67928380 5.48279633 -0.94339318
653 2.66202367 5.48879633 -0.95085213
654 2.65740974 5.49479633 -0.95408506
655 2.67068670 5.50079633 -0.95188011
656 2.67651515 5.50679633 -0.95193267
657 2.67516099 5.51279633 -0.95415955
658 2.69435135 5.51879633 -0.95012880
659 2.68313955 5.52479633 -0.95535544
660 2.69778948 5.53079633 -0.95276403
661 2.69057188 5.53679633 -0.95669503
662 2.70015716 5.54279633 -0.95564523
663 2.71259703 5.54879633 -0.95372876
664 2.74971105 5.55479633 -0.94391366
665 2.73848207 5.56079633 -0.94946216
666 2.72138218 5.56679633 -0.95645884
667 2.73516924 5.57279633 -0.95415707
668 2.72552971 5.57879633 -0.95872121
669 2.73102900 5.58479633 -0.95886346
670 2.74497274 5.59079633 -0.95657826
671 2.72603172 5.59679633 -0.96354970
672 2.74709852 5.60279633 -0.95940968
673 2.71501614 5.60879633 -0.96945131
674 2.74334926 5.61479633 -0.96373205
675 2.74980110 5.62079633 -0.96361137
676 2.76251885 5.62679633 -0.96179394
